paeth3
cmp
XIf
ferror
calc
pngstructh
inverse
restore
point
Files
recognizing
option
%d%s
app
compression
support
expects
matches
gtest
files
si32
setjmp
ptime
illuminant
conflicting
saved
Jul
purpose
i16
Profile
-vm
zstream
match
incorrect
finish
lzsize
May
1995-1996
longjmp
unpacklo
IFg
samples
val
dots
Dec
cmap
shift
exceeding
sse2
pngcn
sig
month
compare
heuristics
U32
frexp
xfail
pngdebugh
expected
--xfail
bytep
inches
fpin
present
Testing
format
-mn
transformations
dsp
setup
Jan
inch
delta
result
discard
Wrote
hour
init
Incn
intents
ignore
zlibh
written
code
coeff
denominator
malformed
pngprivh
dptr
writing
pend
embedded
dp32
limits
jump
outbuf
failure
grayscalealpha
profiles
build
location
quantize
sizen
idat
Randers-
strict
colorp
grayalpha
dpi
pos
EXt
coefficients
iccp
limit
TXt
ancil
voidcast
Apr
jend
default
struct
spare
structure
claim
b10
comp
filen
RAc
ishift
fpout
char
control
exceeds
chunkpp
allocation
color
zlib
day
mono
windows
specified
colorspacerp
R32
ratio
destroy
map
hlen
unshift
Too
num
copy
length
zbuffer
doublepp
errorn
stdout
tst
phys
iout
damaged
Compression
epi8
correction
gray
action
Reset
ILn
deflate
lsb
outrow
please
Bytef
user
memcmp
unpremultiply
divisor
entry
memcpy
make
dsort
msb
inflate
key
attempt
stepx
infopp
channels
argument
mng
start
checks
Palette
gamma
pngconfh
andnot
data
Abstract
cur
entries
method
pointer
threshold
size
xy2
passes
nelements
voidp
errno
crc32
flag
colormapped
uval
Ignoring
byte
clang
change
handling
--strict
Aug
finished
return
exp
months
png
nparams
rgb
max
Trutan
unpack
lengthh
structp
extension
pnginfoh
loc
alignof
color-mapped
equation
pack
required
buffer
report
atof
wrote
compress
requested
strerror
chop
Row
bit
reset
tbuf
alloc
adler32
Call
xy1
Guy
architecture
Schalnat
Libpng
fflush
mon
proc
application
wlen
handlingread
strlen
component
palette
timepp
pngtest
transparent
benign
verbose
testn
level
textp
readbuf
Warning
exif
copyright
paeth
memory
parameter
preferred
Oct
divided
lmins
YZtemp
%dn
Color
tran
pass
display
use
character
transforms
tmp
state
indexes
rgb-alpha
calls
Application
checked
chunk
packswap
power
height
alpha
arg
debug
Error
unlimitedn
itxt
correct
running
const
crit
used
rendering
text
textpp
icc
str
limitsn
rows
calloc
Memory
Bits
background
debug1
mday
Writing
lang
iin
destroying
flush
libpng-
bluey
hist
begin
rgbalpha
Mar
Write
fwrite
image
padding
store4
attribute
msg
duplicate
supplied
defaultn
fread
chunks
8-bit
units
get
srgb
allocated
tptr
out-of-range
encode
{infilepng}n
zero-length
dsortp
features
spalettes
specifier
errmsg
onoff
check
optimize
dec
pnglibconfh
combination
strip
limitsh
interlace
channel
aindex
ga-alpha
inconsistent
mismatch
write
transform
safecat
test
entrybuf
Named
load4
Truncated
gray-alpha
precision
name
images
turned
zalloc
custom
V257
proflen
--relaxed
bpp
pow10
gray16
year
fprintf
Init2
range
truelen
nentries
zowner
Cosmin
Missing
cvtsi128
Reset2
typebit
pal
cmplt
inname
prev
sp16
aligncastconst
adler
filters
params
try
end
logic
pngtestpng
push
translate
invert
charp
failed
mincount
pngh
constcast
epu8
swidth
width
aspect
whereami
%lu
table
items
transformation
digits
rptr
outchannels
iheight
stepy
versions
exit
ndigits
FFs
rowbytes
16-bit
recip
convert
output
element
ppm
Level
need
Decompression
broken
decode
mod
avg
greeny
Glenn
mult
number
create
base
compose
differentn
preserved
preserve
startx
maximum
Sep
Nov
handled
handlingwrite
charppp
sec
remove
space
library
Default
options
color-map
alphatransparency
Int
per
istop
stdlibh
microns
allocate
stdio
input
End
ascii
factor
nlibpng
infopng
yinc
%lun
vpag
crc
Jun
formatted
buf
timep
freer
stream
whitey
keep
Copyright
trans
implemented
signed
done
sheight
meter
system
fill
compressed
Blue
len
D50
chunklength
bgr
bluex
Saving
added
edited
ignoring
time
iwidth
pointers
%lu%s
argv
entryp
mode
Feb
gammabackgroundrgb
Link
IFx
cinfo
fixed
values
scrn
times
store3
dist
outlist
alphabyte
inappropriate
scale
jmpbuf
ATs
avg4
corrupted
gmtime
called
IFt
Cant
dmax
save
process
paeth4
Interlace
insufficient
decompress
reciprocal2
uint
int
outfilepngnt%s
Read
access
nongray
integer
Image
filter
cvtsi32
out-of-date
colormap
Dilgern
colorpp
rfc1123
intent
bufsize
colors
sort
argc
endptr
row
missing
stride
%snn
swap
Unrecognized
parm
bytepp
background8
ppi
prefix
owner
rgbga
byte-order
Pehrsonn
n%s
usage
exponent
defined
setting
window
warnings
