"File name","Comment Id","Comment Text","Comment Tokens","Comment scope","Prog.dom matches (comm.)","Prob.dom matches (comm.)","Identifier symbol","Identifier type","Identifier tokens","Identifier scopes","prog.dom matches (id)","prob. dom matches (id)","prog.dom matches (comm+id)","prob. dom matches (comm+id)","Symbol ids"
"/home/dewang/smartKT/SmartKTRepo/projects/libpng/intel/intel_init.c",1,"intel_init.c - SSE2 optimized filter functions
 *
 * Copyright (c) 2018 Cosmin Truta
 * Copyright (c) 2016-2017 Glenn Randers-Pehrson
 * Written by Mike Klein and Matt Sarett, Google, Inc.
 * Derived from arm/arm_init.c
 *
 * This code is released under the libpng license.
 * For conditions of distribution and use, see the disclaimer
 * and license in png.h","intel_init ||| c ||| - ||| sse2 ||| optimized ||| filter ||| functions ||| copyright ||| c ||| 2018 ||| cosmin ||| truta ||| copyright ||| c ||| 2016-2017 ||| glenn ||| randers-pehrson ||| written ||| mike ||| klein ||| matt ||| sarett ||| google ||| inc ||| derived ||| arm ||| arm_init ||| c ||| code ||| released ||| libpng ||| license ||| for ||| conditions ||| distribution ||| use ||| see ||| disclaimer ||| license ||| png ||| h ||| ","2: 53","['optimized', 'Properties of Datastructure / Function / Blocks']  ['for', 'Operations as part of Algorithms']","libpng ||| png ||| cosmin truta ||| glenn randers-pehrson","../pngpriv.h ||| png_structp ||| bpp ||| pp ||| png_read_filter_row_sub3_sse2 ||| pp ||| png_read_filter_row_avg3_sse2 ||| pp ||| png_read_filter_row_paeth3_sse2 ||| bpp ||| pp ||| png_read_filter_row_sub4_sse2 ||| pp ||| png_read_filter_row_avg4_sse2 ||| pp ||| png_read_filter_row_paeth4_sse2 ||| read_filter ||| read_filter ||| read_filter ||| read_filter ||| read_filter ||| read_filter ||| png_init_filter_functions_sse2 ||| pp ||| bpp ||| bpp ||| read_filter ||| pp ||| png_read_filter_row_sub3_sse2 ||| read_filter ||| pp ||| png_read_filter_row_avg3_sse2 ||| read_filter ||| pp ||| png_read_filter_row_paeth3_sse2 ||| bpp ||| read_filter ||| pp ||| png_read_filter_row_sub4_sse2 ||| read_filter ||| pp ||| png_read_filter_row_avg4_sse2 ||| read_filter ||| pp ||| png_read_filter_row_paeth4_sse2","inclusionDirective :  ||| TypeRef : png_structp ||| DeclRefExpr : unsigned int ||| DeclRefExpr : png_structp ||| DeclRefExpr : void (png_row_infop, png_bytep, png_const_bytep) ||| DeclRefExpr : png_structp ||| DeclRefExpr : void (png_row_infop, png_bytep, png_const_bytep) ||| DeclRefExpr : png_structp ||| DeclRefExpr : void (png_row_infop, png_bytep, png_const_bytep) ||| DeclRefExpr : unsigned int ||| DeclRefExpr : png_structp ||| DeclRefExpr : void (png_row_infop, png_bytep, png_const_bytep) ||| DeclRefExpr : png_structp ||| DeclRefExpr : void (png_row_infop, png_bytep, png_const_bytep) ||| DeclRefExpr : png_structp ||| DeclRefExpr : void (png_row_infop, png_bytep, png_const_bytep) ||| MemberRefExpr : void (*[4])(png_row_infop, png_bytep, png_const_bytep) ||| MemberRefExpr : void (*[4])(png_row_infop, png_bytep, png_const_bytep) ||| MemberRefExpr : void (*[4])(png_row_infop, png_bytep, png_const_bytep) ||| MemberRefExpr : void (*[4])(png_row_infop, png_bytep, png_const_bytep) ||| MemberRefExpr : void (*[4])(png_row_infop, png_bytep, png_const_bytep) ||| MemberRefExpr : void (*[4])(png_row_infop, png_bytep, png_const_bytep) ||| FunctionDecl : void (png_structp, unsigned int) ||| ParmDecl : png_structp ||| ParmDecl : unsigned int ||| UnexposedExpr : unsigned int ||| UnexposedExpr : void (**)(png_row_infop, png_bytep, png_const_bytep) ||| UnexposedExpr : png_structp ||| UnexposedExpr : void (*)(png_row_infop, png_bytep, png_const_bytep) ||| UnexposedExpr : void (**)(png_row_infop, png_bytep, png_const_bytep) ||| UnexposedExpr : png_structp ||| UnexposedExpr : void (*)(png_row_infop, png_bytep, png_const_bytep) ||| UnexposedExpr : void (**)(png_row_infop, png_bytep, png_const_bytep) ||| UnexposedExpr : png_structp ||| UnexposedExpr : void (*)(png_row_infop, png_bytep, png_const_bytep) ||| UnexposedExpr : unsigned int ||| UnexposedExpr : void (**)(png_row_infop, png_bytep, png_const_bytep) ||| UnexposedExpr : png_structp ||| UnexposedExpr : void (*)(png_row_infop, png_bytep, png_const_bytep) ||| UnexposedExpr : void (**)(png_row_infop, png_bytep, png_const_bytep) ||| UnexposedExpr : png_structp ||| UnexposedExpr : void (*)(png_row_infop, png_bytep, png_const_bytep) ||| UnexposedExpr : void (**)(png_row_infop, png_bytep, png_const_bytep) ||| UnexposedExpr : png_structp ||| UnexposedExpr : void (*)(png_row_infop, png_bytep, png_const_bytep)","../pngpriv.h ||| png structp ||| bpp ||| pp ||| png read filter row sub3 sse2 ||| pp ||| png read filter row avg3 sse2 ||| pp ||| png read filter row paeth3 sse2 ||| bpp ||| pp ||| png read filter row sub4 sse2 ||| pp ||| png read filter row avg4 sse2 ||| pp ||| png read filter row paeth4 sse2 ||| read filter ||| read filter ||| read filter ||| read filter ||| read filter ||| read filter ||| png init filter functions sse2 ||| pp ||| bpp ||| bpp ||| read filter ||| pp ||| png read filter row sub3 sse2 ||| read filter ||| pp ||| png read filter row avg3 sse2 ||| read filter ||| pp ||| png read filter row paeth3 sse2 ||| bpp ||| read filter ||| pp ||| png read filter row sub4 sse2 ||| read filter ||| pp ||| png read filter row avg4 sse2 ||| read filter ||| pp ||| png read filter row paeth4 sse2","14: 14 ||| 20: 20 ||| 31: 31 ||| 33: 33 ||| 33: 33 ||| 34: 34 ||| 34: 34 ||| 35: 35 ||| 36: 36 ||| 38: 38 ||| 40: 40 ||| 40: 40 ||| 41: 41 ||| 41: 41 ||| 42: 42 ||| 43: 43 ||| 33: 33 ||| 34: 34 ||| 35: 35 ||| 40: 40 ||| 41: 41 ||| 42: 42 ||| 19: 49 ||| 20: 20 ||| 20: 20 ||| 31: 31 ||| 33: 33 ||| 33: 33 ||| 33: 33 ||| 34: 34 ||| 34: 34 ||| 34: 34 ||| 35: 35 ||| 35: 35 ||| 36: 36 ||| 38: 38 ||| 40: 40 ||| 40: 40 ||| 40: 40 ||| 41: 41 ||| 41: 41 ||| 41: 41 ||| 42: 42 ||| 42: 42 ||| 43: 43"," |||  |||  |||  ||| read : Operations as part of Data structure |||  ||| read : Operations as part of Data structure |||  ||| read : Operations as part of Data structure |||  |||  ||| read : Operations as part of Data structure |||  ||| read : Operations as part of Data structure |||  ||| read : Operations as part of Data structure ||| read : Operations as part of Data structure ||| read : Operations as part of Data structure ||| read : Operations as part of Data structure ||| read : Operations as part of Data structure ||| read : Operations as part of Data structure ||| read : Operations as part of Data structure ||| init : Properties of Datastructure / Function / Blocks |||  |||  |||  ||| read : Operations as part of Data structure |||  ||| read : Operations as part of Data structure ||| read : Operations as part of Data structure |||  ||| read : Operations as part of Data structure ||| read : Operations as part of Data structure |||  ||| read : Operations as part of Data structure |||  ||| read : Operations as part of Data structure |||  ||| read : Operations as part of Data structure ||| read : Operations as part of Data structure |||  ||| read : Operations as part of Data structure ||| read : Operations as part of Data structure |||  ||| read : Operations as part of Data structure"," ||| png |||  |||  ||| png |||  ||| png |||  ||| png |||  |||  ||| png |||  ||| png |||  ||| png |||  |||  |||  |||  |||  |||  ||| png |||  |||  |||  |||  |||  ||| png |||  |||  ||| png |||  |||  ||| png |||  |||  |||  ||| png |||  |||  ||| png |||  |||  ||| png","","p ||| p ||| p ||| p ||| p ||| p ||| p ||| p ||| p ||| p ||| p ||| p ||| p ||| p","1701817860490 ||| 1703455333650 ||| 1704093436852 ||| 1703532375538 ||| 1700812413053 ||| 1700136302681 ||| 1703254385536 ||| 1702831588229 ||| 1703266987030 ||| 1702982751981 ||| 1702547427597 ||| 1703423308949 ||| 1703481737453 ||| 1704050217148 ||| 1701847246719 ||| 1703318202406 ||| 1700107768581 ||| 1703144730691 ||| 1702544943473 ||| 1704035150177 ||| 1702778669763 ||| 1702744585450 ||| 1702982717123 ||| 1701629849333 ||| 1702074104972 ||| 1702199871845 ||| 1704006137547 ||| 1700709741302 ||| 1703951008737 ||| 1701646973646 ||| 1702076358970 ||| 1703443493115 ||| 1700673751802 ||| 1701664868297 ||| 1700341611310 ||| 1702589494491 ||| 1702516237776 ||| 1701289998917 ||| 1701720735907 ||| 1702282948561 ||| 1700249399488 ||| 1700026969308 ||| 1700401427632 ||| 1702807138133 ||| 1702172925537"
"/home/dewang/smartKT/SmartKTRepo/projects/libpng/intel/intel_init.c",2,"The techniques used to implement each of these filters in SSE operate on
    * one pixel at a time.
    * So they generally speed up 3bpp images about 3x, 4bpp images about 4x.
    * They can scale up to 6 and 8 bpp images and down to 2 bpp images,
    * but they'd not likely have any benefit for 1bpp images.
    * Most of these can be implemented using only MMX and 64-bit registers,
    * but they end up a bit slower than using the equally-ubiquitous SSE2.","techniques ||| used ||| implement ||| filters ||| sse ||| operate ||| one ||| pixel ||| time ||| generally ||| speed ||| 3bpp ||| images ||| 3x ||| 4bpp ||| images ||| 4x ||| scale ||| 6 ||| 8 ||| bpp ||| images ||| 2 ||| bpp ||| images ||| theyd ||| likely ||| benefit ||| for ||| 1bpp ||| images ||| implemented ||| using ||| mmx ||| 64-bit ||| registers ||| end ||| bit ||| slower ||| using ||| equally-ubiquitous ||| sse2 ||| ","22: 45","['time', 'Time Complexity / Space Complexity/ Memory/ Exception']  ['for', 'Operations as part of Algorithms']  ['end', 'Time Complexity / Space Complexity/ Memory/ Exception']  ['bit', 'Data-Structure and its Components']","pixel ||| time ||| images ||| images ||| images ||| images ||| images","bpp ||| pp ||| png_read_filter_row_sub3_sse2 ||| pp ||| png_read_filter_row_avg3_sse2 ||| pp ||| png_read_filter_row_paeth3_sse2 ||| bpp ||| pp ||| png_read_filter_row_sub4_sse2 ||| pp ||| png_read_filter_row_avg4_sse2 ||| pp ||| png_read_filter_row_paeth4_sse2 ||| read_filter ||| read_filter ||| read_filter ||| read_filter ||| read_filter ||| read_filter ||| bpp ||| read_filter ||| pp ||| png_read_filter_row_sub3_sse2 ||| read_filter ||| pp ||| png_read_filter_row_avg3_sse2 ||| read_filter ||| pp ||| png_read_filter_row_paeth3_sse2 ||| bpp ||| read_filter ||| pp ||| png_read_filter_row_sub4_sse2 ||| read_filter ||| pp ||| png_read_filter_row_avg4_sse2 ||| read_filter ||| pp ||| png_read_filter_row_paeth4_sse2","DeclRefExpr : unsigned int ||| DeclRefExpr : png_structp ||| DeclRefExpr : void (png_row_infop, png_bytep, png_const_bytep) ||| DeclRefExpr : png_structp ||| DeclRefExpr : void (png_row_infop, png_bytep, png_const_bytep) ||| DeclRefExpr : png_structp ||| DeclRefExpr : void (png_row_infop, png_bytep, png_const_bytep) ||| DeclRefExpr : unsigned int ||| DeclRefExpr : png_structp ||| DeclRefExpr : void (png_row_infop, png_bytep, png_const_bytep) ||| DeclRefExpr : png_structp ||| DeclRefExpr : void (png_row_infop, png_bytep, png_const_bytep) ||| DeclRefExpr : png_structp ||| DeclRefExpr : void (png_row_infop, png_bytep, png_const_bytep) ||| MemberRefExpr : void (*[4])(png_row_infop, png_bytep, png_const_bytep) ||| MemberRefExpr : void (*[4])(png_row_infop, png_bytep, png_const_bytep) ||| MemberRefExpr : void (*[4])(png_row_infop, png_bytep, png_const_bytep) ||| MemberRefExpr : void (*[4])(png_row_infop, png_bytep, png_const_bytep) ||| MemberRefExpr : void (*[4])(png_row_infop, png_bytep, png_const_bytep) ||| MemberRefExpr : void (*[4])(png_row_infop, png_bytep, png_const_bytep) ||| UnexposedExpr : unsigned int ||| UnexposedExpr : void (**)(png_row_infop, png_bytep, png_const_bytep) ||| UnexposedExpr : png_structp ||| UnexposedExpr : void (*)(png_row_infop, png_bytep, png_const_bytep) ||| UnexposedExpr : void (**)(png_row_infop, png_bytep, png_const_bytep) ||| UnexposedExpr : png_structp ||| UnexposedExpr : void (*)(png_row_infop, png_bytep, png_const_bytep) ||| UnexposedExpr : void (**)(png_row_infop, png_bytep, png_const_bytep) ||| UnexposedExpr : png_structp ||| UnexposedExpr : void (*)(png_row_infop, png_bytep, png_const_bytep) ||| UnexposedExpr : unsigned int ||| UnexposedExpr : void (**)(png_row_infop, png_bytep, png_const_bytep) ||| UnexposedExpr : png_structp ||| UnexposedExpr : void (*)(png_row_infop, png_bytep, png_const_bytep) ||| UnexposedExpr : void (**)(png_row_infop, png_bytep, png_const_bytep) ||| UnexposedExpr : png_structp ||| UnexposedExpr : void (*)(png_row_infop, png_bytep, png_const_bytep) ||| UnexposedExpr : void (**)(png_row_infop, png_bytep, png_const_bytep) ||| UnexposedExpr : png_structp ||| UnexposedExpr : void (*)(png_row_infop, png_bytep, png_const_bytep)","bpp ||| pp ||| png read filter row sub3 sse2 ||| pp ||| png read filter row avg3 sse2 ||| pp ||| png read filter row paeth3 sse2 ||| bpp ||| pp ||| png read filter row sub4 sse2 ||| pp ||| png read filter row avg4 sse2 ||| pp ||| png read filter row paeth4 sse2 ||| read filter ||| read filter ||| read filter ||| read filter ||| read filter ||| read filter ||| bpp ||| read filter ||| pp ||| png read filter row sub3 sse2 ||| read filter ||| pp ||| png read filter row avg3 sse2 ||| read filter ||| pp ||| png read filter row paeth3 sse2 ||| bpp ||| read filter ||| pp ||| png read filter row sub4 sse2 ||| read filter ||| pp ||| png read filter row avg4 sse2 ||| read filter ||| pp ||| png read filter row paeth4 sse2","31: 31 ||| 33: 33 ||| 33: 33 ||| 34: 34 ||| 34: 34 ||| 35: 35 ||| 36: 36 ||| 38: 38 ||| 40: 40 ||| 40: 40 ||| 41: 41 ||| 41: 41 ||| 42: 42 ||| 43: 43 ||| 33: 33 ||| 34: 34 ||| 35: 35 ||| 40: 40 ||| 41: 41 ||| 42: 42 ||| 31: 31 ||| 33: 33 ||| 33: 33 ||| 33: 33 ||| 34: 34 ||| 34: 34 ||| 34: 34 ||| 35: 35 ||| 35: 35 ||| 36: 36 ||| 38: 38 ||| 40: 40 ||| 40: 40 ||| 40: 40 ||| 41: 41 ||| 41: 41 ||| 41: 41 ||| 42: 42 ||| 42: 42 ||| 43: 43"," |||  ||| read : Operations as part of Data structure |||  ||| read : Operations as part of Data structure |||  ||| read : Operations as part of Data structure |||  |||  ||| read : Operations as part of Data structure |||  ||| read : Operations as part of Data structure |||  ||| read : Operations as part of Data structure ||| read : Operations as part of Data structure ||| read : Operations as part of Data structure ||| read : Operations as part of Data structure ||| read : Operations as part of Data structure ||| read : Operations as part of Data structure ||| read : Operations as part of Data structure |||  ||| read : Operations as part of Data structure |||  ||| read : Operations as part of Data structure ||| read : Operations as part of Data structure |||  ||| read : Operations as part of Data structure ||| read : Operations as part of Data structure |||  ||| read : Operations as part of Data structure |||  ||| read : Operations as part of Data structure |||  ||| read : Operations as part of Data structure ||| read : Operations as part of Data structure |||  ||| read : Operations as part of Data structure ||| read : Operations as part of Data structure |||  ||| read : Operations as part of Data structure"," |||  ||| png |||  ||| png |||  ||| png |||  |||  ||| png |||  ||| png |||  ||| png |||  |||  |||  |||  |||  |||  |||  |||  |||  ||| png |||  |||  ||| png |||  |||  ||| png |||  |||  |||  ||| png |||  |||  ||| png |||  |||  ||| png","","","1704093436852 ||| 1703532375538 ||| 1700812413053 ||| 1700136302681 ||| 1703254385536 ||| 1702831588229 ||| 1703266987030 ||| 1702982751981 ||| 1702547427597 ||| 1703423308949 ||| 1703481737453 ||| 1704050217148 ||| 1701847246719 ||| 1703318202406 ||| 1700107768581 ||| 1703144730691 ||| 1702544943473 ||| 1704035150177 ||| 1702778669763 ||| 1702744585450 ||| 1702199871845 ||| 1704006137547 ||| 1700709741302 ||| 1703951008737 ||| 1701646973646 ||| 1702076358970 ||| 1703443493115 ||| 1700673751802 ||| 1701664868297 ||| 1700341611310 ||| 1702589494491 ||| 1702516237776 ||| 1701289998917 ||| 1701720735907 ||| 1702282948561 ||| 1700249399488 ||| 1700026969308 ||| 1700401427632 ||| 1702807138133 ||| 1702172925537"
"/home/dewang/smartKT/SmartKTRepo/projects/libpng/intel/intel_init.c",3,"No need optimize PNG_FILTER_VALUE_UP.  The compiler should
    * autovectorize.","need ||| optimize ||| png_filter_value_up ||| compiler ||| autovectorize ||| ","46: 49","","","png_init_filter_functions_sse2","FunctionDecl : void (png_structp, unsigned int)","png init filter functions sse2","19: 49","init : Properties of Datastructure / Function / Blocks","png","","","1702982717123"
"/home/dewang/smartKT/SmartKTRepo/projects/libpng/intel/intel_init.c",4,"PNG_INTEL_SSE_IMPLEMENTATION > 0","png_intel_sse_implementation ||| 0 ||| ","51: 51","","","","","","","","","","",""
"/home/dewang/smartKT/SmartKTRepo/projects/libpng/intel/intel_init.c",5,"PNG_READ_SUPPORTED","png_read_supported ||| ","52: 52","","","","","","","","","","",""
